,Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Risk,Purpose
0,67,male,2,own,,little,6,good,radio/TV
1,22,female,2,own,little,moderate,48,bad,radio/TV
2,49,male,1,own,little,,12,good,education
3,45,male,2,free,little,little,42,good,furniture/equipment
4,53,male,2,free,little,little,24,bad,education
5,35,male,1,free,,,36,good,education
6,53,male,2,own,quite rich,,24,good,furniture/equipment
7,35,male,3,rent,little,moderate,36,good,car
8,61,male,1,own,rich,,12,good,radio/TV
9,28,male,3,own,little,moderate,30,bad,car
10,25,female,2,rent,little,moderate,12,bad,car
11,24,female,2,rent,little,little,48,bad,business
12,22,female,2,own,little,moderate,12,good,radio/TV
13,60,male,1,own,little,little,24,bad,car
14,28,female,2,rent,little,little,15,good,car
15,32,female,1,own,moderate,little,24,bad,radio/TV
16,53,male,2,own,,,24,good,radio/TV
17,25,male,2,own,,little,30,good,business
18,44,female,3,free,little,moderate,24,bad,car
19,31,male,2,own,quite rich,,24,good,radio/TV
20,48,male,2,own,little,,9,good,car
21,44,male,2,rent,quite rich,little,6,good,radio/TV
22,48,male,1,rent,little,little,10,good,car
23,44,male,2,own,moderate,moderate,12,good,car
24,26,male,2,own,,,10,good,furniture/equipment
25,36,male,1,own,little,little,6,good,furniture/equipment
26,39,male,1,own,little,,6,good,radio/TV
27,42,female,2,rent,rich,rich,12,good,radio/TV
28,34,male,2,own,little,moderate,7,good,radio/TV
29,63,male,2,own,little,little,60,bad,business
30,36,male,2,own,rich,moderate,18,good,business
31,27,male,2,own,little,little,24,good,furniture/equipment
32,30,male,2,own,moderate,moderate,18,good,car
33,57,male,1,rent,,,12,good,business
34,33,female,3,own,little,rich,12,good,furniture/equipment
35,25,male,1,own,little,moderate,45,bad,radio/TV
36,31,male,2,free,little,,48,good,education
37,37,male,2,own,little,rich,18,bad,radio/TV
38,37,male,2,own,little,rich,10,good,domestic appliances
39,24,male,2,own,little,moderate,9,good,radio/TV
40,30,male,3,own,quite rich,,30,good,radio/TV
41,26,male,2,own,quite rich,moderate,12,good,radio/TV
42,44,male,1,own,little,moderate,18,good,repairs
43,24,male,2,rent,moderate,little,30,good,car
44,58,female,1,free,little,little,48,bad,car
45,35,female,3,own,little,,11,good,car
46,39,male,2,own,quite rich,,36,good,radio/TV
47,23,female,0,rent,quite rich,little,6,good,car
48,39,male,1,own,little,,11,good,car
49,28,female,2,own,moderate,,12,good,radio/TV
50,29,male,1,own,,moderate,24,good,furniture/equipment
51,30,male,3,own,little,moderate,27,good,car
52,25,male,2,own,little,,12,good,radio/TV
53,31,male,2,own,,,18,good,car
54,57,male,2,free,little,moderate,36,bad,car
55,26,male,1,own,,,6,good,car
56,52,male,3,own,,moderate,12,bad,radio/TV
57,31,female,2,own,little,,36,good,radio/TV
58,23,female,3,own,little,rich,18,good,car
59,23,female,1,rent,little,little,36,bad,furniture/equipment
60,27,male,2,own,little,moderate,9,good,business
61,50,male,2,own,,moderate,15,good,radio/TV
62,61,male,3,free,little,moderate,36,bad,business
63,25,male,2,own,little,moderate,48,bad,business
64,26,female,2,own,little,,24,good,radio/TV
65,48,male,2,own,,,27,good,repairs
66,29,female,2,own,little,,12,good,radio/TV
67,22,male,2,own,rich,moderate,12,good,car
68,37,male,2,free,little,,36,bad,education
69,25,female,2,own,,,36,good,radio/TV
70,30,female,2,own,little,,36,good,car
71,46,male,1,rent,,,7,good,radio/TV
72,51,male,3,free,little,little,8,good,vacation/others
73,41,female,1,own,little,moderate,42,good,business
74,40,male,3,own,,little,36,bad,education
75,66,male,3,free,little,little,12,good,car
76,34,male,2,own,little,little,42,bad,radio/TV
77,51,male,2,own,little,moderate,11,good,radio/TV
78,39,male,1,own,,,54,good,car
79,22,male,2,own,little,moderate,30,good,furniture/equipment
80,44,female,2,own,,,24,bad,radio/TV
81,47,male,2,own,quite rich,,15,good,radio/TV
82,24,female,1,rent,moderate,,18,good,business
83,58,female,1,own,little,little,24,good,vacation/others
84,52,male,1,own,little,little,10,good,radio/TV
85,29,female,3,own,little,,12,good,business
86,27,female,2,own,little,moderate,18,good,furniture/equipment
87,47,male,2,free,moderate,moderate,36,bad,education
88,30,male,3,own,moderate,little,18,good,car
89,28,male,2,own,little,little,12,bad,repairs
90,56,male,2,own,little,,12,good,radio/TV
91,54,male,2,own,little,little,12,good,car
92,33,female,1,own,,,12,bad,radio/TV
93,20,male,2,rent,,rich,24,good,furniture/equipment
94,54,male,2,own,rich,moderate,12,good,car
95,58,male,2,rent,little,moderate,54,bad,business
96,61,female,2,own,,,12,good,education
97,34,male,2,own,moderate,moderate,18,good,business
98,36,male,2,own,little,moderate,36,good,radio/TV
99,36,male,3,rent,,moderate,20,good,car
100,41,male,1,rent,moderate,,24,good,car
101,24,male,2,rent,little,moderate,36,good,radio/TV
102,24,female,2,own,little,,6,good,radio/TV
103,35,male,2,rent,little,moderate,9,good,furniture/equipment
104,26,male,2,rent,,,12,good,car
105,39,male,3,own,little,moderate,24,bad,vacation/others
106,39,male,3,own,little,,18,bad,car
107,32,male,2,own,little,moderate,12,good,car
108,30,female,2,own,,little,24,good,furniture/equipment
109,35,male,2,own,quite rich,moderate,14,good,business
110,31,male,2,own,moderate,moderate,6,good,business
111,23,female,2,rent,little,rich,15,good,education
112,28,male,1,rent,little,moderate,18,good,car
113,25,female,2,own,little,,36,bad,car
114,35,male,2,own,quite rich,little,12,good,radio/TV
115,47,male,2,own,,,48,good,radio/TV
116,30,female,3,own,,little,42,bad,radio/TV
117,27,female,2,rent,,little,10,good,furniture/equipment
118,23,female,2,own,quite rich,little,33,bad,furniture/equipment
119,36,male,3,own,quite rich,moderate,12,good,car
120,25,female,2,own,little,little,21,bad,radio/TV
121,41,female,3,rent,little,,24,good,car
122,24,male,1,rent,little,,12,good,furniture/equipment
123,63,male,2,free,little,rich,10,good,car
124,27,female,2,rent,,moderate,18,bad,furniture/equipment
125,30,male,2,own,little,little,12,good,car
126,40,male,1,own,little,little,12,good,radio/TV
127,30,male,2,own,little,moderate,12,bad,repairs
128,34,male,3,own,little,moderate,12,good,car
129,29,female,2,own,little,little,12,bad,car
130,24,female,2,own,,moderate,48,good,car
131,29,male,2,own,little,little,36,bad,education
132,27,male,1,own,little,,15,good,furniture/equipment
133,47,male,2,free,little,,18,good,furniture/equipment
134,21,female,2,own,moderate,,60,good,radio/TV
135,38,female,2,own,,,12,good,radio/TV
136,27,male,2,own,rich,,27,good,car
137,66,male,1,own,quite rich,moderate,12,bad,radio/TV
138,35,male,2,own,,moderate,15,good,radio/TV
139,44,female,1,rent,little,rich,12,good,radio/TV
140,27,male,0,own,rich,rich,6,good,car
141,30,female,3,own,little,moderate,36,good,radio/TV
142,27,male,3,own,little,little,27,good,radio/TV
143,22,male,2,own,little,little,18,bad,furniture/equipment
144,23,female,2,own,little,,21,good,furniture/equipment
145,30,male,2,own,moderate,moderate,48,good,business
146,39,female,2,own,little,little,6,good,car
147,51,female,2,own,moderate,,12,good,car
148,28,male,2,own,little,little,36,good,furniture/equipment
149,46,male,2,own,rich,,18,good,radio/TV
150,42,male,2,free,moderate,,6,good,radio/TV
151,38,male,2,own,little,,10,good,radio/TV
152,24,male,2,own,little,rich,36,good,radio/TV
153,29,female,2,rent,rich,moderate,24,good,car
154,36,male,3,rent,moderate,moderate,24,good,business
155,20,female,2,rent,little,little,12,bad,furniture/equipment
156,48,male,2,own,moderate,little,9,good,repairs
157,45,male,1,own,little,little,12,good,education
158,38,male,2,own,moderate,moderate,24,good,car
159,34,male,1,own,,,6,good,radio/TV
160,36,male,2,own,moderate,,24,good,radio/TV
161,30,female,2,own,little,,18,good,car
162,36,male,2,own,quite rich,,15,good,domestic appliances
163,70,male,3,free,little,moderate,10,good,car
164,36,male,2,own,quite rich,,36,good,car
165,32,male,2,own,quite rich,,6,good,furniture/equipment
166,33,female,2,own,little,little,18,bad,furniture/equipment
167,20,female,2,own,rich,moderate,11,good,furniture/equipment
168,25,female,2,rent,little,,24,good,furniture/equipment
169,31,male,2,own,little,moderate,24,bad,business
170,33,male,2,rent,little,little,15,bad,car
171,26,female,2,own,little,,12,good,furniture/equipment
172,34,female,3,own,little,moderate,24,bad,furniture/equipment
173,33,male,2,own,little,moderate,8,good,radio/TV
174,26,male,2,own,little,little,21,bad,education
175,53,female,3,own,,,30,bad,car
176,42,male,2,own,little,little,12,good,furniture/equipment
177,52,male,2,own,quite rich,little,6,good,radio/TV
178,31,male,3,rent,little,,12,good,radio/TV
179,65,male,2,own,little,little,21,good,car
180,28,male,2,own,little,,36,bad,business
181,30,male,3,own,little,moderate,36,bad,business
182,40,male,1,own,,little,21,bad,car
183,50,male,2,own,rich,,24,good,furniture/equipment
184,36,male,2,own,little,moderate,18,bad,car
185,31,male,2,own,little,,15,good,radio/TV
186,74,female,3,free,little,moderate,9,bad,car
187,68,male,0,free,little,moderate,16,good,car
188,20,male,2,own,moderate,little,12,bad,radio/TV
